,관광명소,구,lat,lon
0,국립극장,중구,37.5526708,126.9996175
1,남대문시장,중구,37.5592111,126.977639
2,N서울타워,용산구,37.5511451,126.987885
3,남산골한옥마을,중구,37.5584554,126.993561
4,대한성공회 서울주교좌성당,중구,37.5669881,126.9755037
5,덕수궁,중구,37.5660945,126.9749148
6,동대문디자인플라자,중구,37.5682138,127.0103381
7,동대문역사문화공원,중구,37.562125,127.014538
8,명동(서울),중구,37.5650184,126.9881483
9,명동성당,중구,37.5633352,126.9872743
10,서울로 7017,중구,37.5580094,126.9697727
11,숭례문,중구,37.5599922,126.9753282
12,약현성당,중구,37.5592019,126.9669871
13,환구단,중구,37.5645108,126.9802069
14,경복궁,종로구,37.5788408,126.9770162
15,경희궁,종로구,37.5699093,126.9715197
16,광장시장,종로구,37.5701227,126.9997095
17,광화문 광장,종로구,37.5716229,126.9767879
18,국립고궁박물관,종로구,37.5766678,126.9749224
19,국립민속박물관,종로구,37.5815645,126.9789313
20,국립현대미술관서울관,종로구,37.5786682,126.9800396
21,낙산공원,종로구,37.5805875,127.0065396
22,낙원상가,종로구,37.5727683,126.9879056
23,대학로,종로구,37.5805875,127.0065396
24,대한민국역사박물관,종로구,37.5739236,126.9778134
25,북촌한옥마을,종로구,37.5790851,126.9862703
26,백사실계곡,종로구,37.6004203,126.9663295
27,사직단,종로구,37.5750148,126.9670717
28,북촌 한옥마을,종로구,37.5790851,126.9862703
29,서촌,종로구,37.5841366,126.9706519
30,서울시립미술관,중구,37.564111,126.97368
31,서울역사박물관,종로구,37.5704969,126.9710753
32,성균관,종로구,37.5872284,126.9931151
33,세운상가,종로구,37.569283,126.995255
34,세종문화회관,종로구,37.572186,126.9768172
35,운현궁,종로구,37.5756968,126.9869814
36,이화동벽화마을,종로구,37.577008,127.004338
37,익선동 한옥거리,종로구,37.574567,126.9894
38,인사동 문화의거리,종로구,37.5717,126.986
39,인왕산,종로구,37.5788884,126.9605837
40,조계사,종로구,37.5744939,126.9820174
41,종묘,종로구,37.5767026,126.9951279
42,중앙고등학교,종로구,37.5840273,126.9868771
43,창경궁,종로구,37.5776239,126.9938415
44,창덕궁,종로구,37.5826041,126.9919376
45,탑골공원,종로구,37.5713464,126.9882868
46,혜화동성당,종로구,37.5862076,127.0027429
47,흥인지문,종로구,37.5711764,127.0097152
48,환기미술관,종로구,37.5941136,126.9661585
49,서울미술관,중구,37.564111,126.97368
50,남산(서울),용산구,37.5511451,126.987885
51,경리단길,용산구,37.5332983,126.9951957
52,해방촌길,용산구,37.5395513,126.9896096
53,국립중앙박물관,용산구,37.5240867,126.9803881
54,리움미술관,용산구,37.5385266,126.9987762
55,새남터 성지,용산구,37.5251305,126.9570769
56,전쟁기념관,용산구,37.5373365,126.9784621
57,용산 신학교 성당,용산구,37.5343665,126.9537281
58,이태원,용산구,37.5332983,126.9951957
59,이슬람중앙성원,용산구,37.5334158,126.9975304
60,효창공원,용산구,37.5386327,126.9617518
61,도봉산,도봉구,37.6786913,127.0434369
62,연산군묘,도봉구,37.6614046,127.0226411
63,불암산,노원구,37.6799173,127.0548745
64,북서울미술관,노원구,37.6406604,127.0668655
65,수락산,노원구,37.6799173,127.0548745
66,"태릉,강릉",노원구,37.624874,127.073838
67,북서울 꿈의 숲,강북구,37.6233355,127.0407344
68,간송미술관,성북구,37.5944625,126.9962385
69,길상사,성북구,37.5991094,126.9946522
70,정릉,성북구,37.6014559,127.0166699
71,한국가구박물관,성북구,37.5998685,126.9930297
72,북악산,종로구,37.5924399,126.9640471
73,용마산,중랑구,37.5873592,127.0874227
74,홍릉수목원,동대문구,37.5942169,127.0440346
75,세종대왕기념관,동대문구,37.591001,127.0427143
76,서울숲,성동구,37.5430701,127.0417991
77,성수동 카페거리,성동구,37.539817,127.056888
78,뚝섬한강공원,광진구,37.529346,127.074006
79,서울어린이대공원,광진구,37.5498987,127.0809212
80,예스24 라이브홀,광진구,37.5457324,127.1080051
81,불광천,서대문구,37.57955,126.906925
82,연신내로데오거리,은평구,37.623707,126.916675
83,은평역사한옥박물관,은평구,37.6403336,126.9380082
84,독립문,서대문구,37.5720965,126.9596391
85,서대문형무소역사관,서대문구,37.5746085,126.9556118
86,신촌,서대문구,37.56553,126.94136
87,서울 성 니콜라스 대성당,마포구,37.5513092,126.9572509
88,서울함 공원,마포구,37.5557854,126.8939423
89,월드컵공원,마포구,37.5693167,126.8785375
90,문화비축기지,마포구,37.5703467,126.8950314
91,절두산 성지,마포구,37.5441431,126.9117788
92,홍대거리,마포구,37.5562388,126.9199384
93,안양천,구로구,37.5077664,126.8805826
94,양천향교,강서구,37.5728839,126.8399821
95,서서울호수공원,양천구,37.5274319,126.8300869
96,63빌딩,영등포구,37.5196568,126.9399392
97,IFC,영등포구,37.5251815,126.9248643
98,선유도공원,영등포구,37.5423604,126.9018167
99,씨랄라,영등포구,37.5178048,126.9000853
100,여의도공원,영등포구,37.526829,126.9223516
101,영등포 타임스퀘어,영등포구,37.5172195,126.9039295
102,정선옹주묘,구로구,37.5009,126.8277
103,삼성산,관악구,37.487426,126.927075
104,낙성대,관악구,37.4713728,126.9603009
105,녹두거리,관악구,37.47053,126.9357245
106,샤로수길,관악구,37.4779618,126.9534602
107,노량진수산시장,동작구,37.5148693,126.9368431
108,보라매공원,동작구,37.4948959,126.9194519
109,양녕대군묘,동작구,37.4979973,126.9532153
110,서울암사동유적,강동구,37.5606377,127.130348
111,세빛섬,서초구,37.5124362,126.9959623
112,양재시민의 숲,서초구,37.4730498,127.0369771
113,예술의 전당,서초구,37.4785361,127.0107423
114,가락시장,송파구,37.4961026,127.1110027
115,롯데월드,송파구,37.5110794,127.0981638
116,롯데월드 어드벤처,송파구,37.5110794,127.0981638
117,롯데월드타워,송파구,37.5136378,127.1043005
118,몽촌토성[4],송파구,37.5239078,127.0989413
119,석촌호수,송파구,37.5061,127.084338
120,석촌동 고분군,송파구,37.503592,127.1037
121,올림픽공원,송파구,37.520934,127.122959
122,서울종합운동장,송파구,37.5151707,127.0740482
123,가든파이브,송파구,37.4776846,127.1249925
124,가로수길,강남구,37.5240101,127.0227814
125,테헤란로,강남구,37.5059923,127.052546
126,봉은사,강남구,37.5158257,127.0577345
127,조선왕릉,노원구,37.6301539,127.0974736
128,코엑스 아쿠아리움,강남구,37.5118239,127.0591591
,,,,
