보행자우선도로명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,도로폭,우선도로여부
봉은사로2길,강남구,37.504826,127.025369,37.501752,127.026313,6.5,1
관악로14길,관악구,37.479235,126.952485,37.476616,126.958952,6,1
남부순환로230길,관악구,37.478553,126.955568,37.479613,126.955356,4,1
광진 능동로10길,광진구,37.536024,127.073625,37.535362,127.075522,5,1
광진 자양로50길,광진구,37.551885,127.092367,37.552558,127.095343,8,1
광진 아차산로49길,광진구,37.537544,127.084471,37.536823,127.084726,5,1
광진 아차산로51길,광진구,37.537726,127.085188,37.537024,127.085477,5,1
광진 아차산로53길,광진구,37.537888,127.085841,37.537167,127.086098,5,1
광진 아차산로55길,광진구,37.538051,127.086541,37.53736,127.086622,8,1
구로디지털단지역 일원,구로구,37.485873,126.90236,37.484635,126.899624,5,1
개봉로3길,구로구,37.486965,126.850351,37.487448,126.856153,10,1
오류동 텃골,구로구,37.496181,126.839463,37.496819,126.837161,8,1
디지털로32가길(문성골),구로구,37.481308,126.896187,37.48306,126.898042,5,1
경인로35길,구로구,37.499543,126.852933,37.497428,126.855421,7,1
새말로18길,구로구,37.508494,126.891128,37.506161,126.892599,10,1
서울특별시 금천구 금하로 23길,금천구,37.451188,126.908596,37.45476,126.909391,8,1
서울특별시 금천구 시흥대로 122길,금천구,37.469506,126.898243,37.468837,126.902262,6,1
서울특별시 금천구 시흥대로 63길,금천구,37.454841,126.899613,37.455274,126.897177,6,1
서울특별시 금천구 시흥대로 123길,금천구,37.469888,126.89777,37.470677,126.896706,6,1
서대문 명지대2길,서대문구,37.58279,126.92548,37.58129,126.92492,8,1
서대문 연세로9길,서대문구,37.55852,126.93624,37.55853,126.93506,6,1
서대문 연세로7안길,서대문구,37.55809,126.93624,37.55813,126.935,6,1
서대문 연세로5가길,서대문구,37.55732,126.93622,37.55732,126.93486,6,1
서대문 연세로4길,서대문구,37.55699,126.93751,37.55856,126.93967,6,1
서대문 신촌역로,서대문구,37.55845,126.94263,37.55809,126.94215,6,1
방배천로2길,서초구,37.477274,126.982067,37.476852,126.985397,8.8,1
서초대로77길,서초구,37.50178,127.025376,37.49941,127.025924,7.5,1
목동중앙로13길,양천구,37.544297,126.88249,37.545537,126.88155,6,1
연서로21길,은평구,37.61461015,126.9170711,37.61535909,126.9152253,8,1
연서로21길,은평구,37.61498373,126.9155592,37.61473002,126.9154043,6,1
연서로21길,은평구,37.61469277,126.9162544,37.61445728,126.9161219,6,1
은평로21길,은평구,37.60117585,126.9339244,37.6033751,126.9290232,6,1
연서로27길,은평구,37.61780706,126.9188485,37.61941825,126.9196521,8,1
연서로27길,은평구,37.61815075,126.9180053,37.6189769,126.9186843,6,1
연서로29길,은평구,37.61927285,126.9185328,37.61957057,126.9195593,6,1
연서로27길,은평구,37.61845922,126.9172532,37.61922408,126.9181257,8,1
연서로29길,은평구,37.61937889,126.9183047,37.62009041,126.9192572,8,1
통일로,은평구,37.61983308,126.9196914,37.61978358,126.9201905,6,1
연서로27길,은평구,37.61808044,126.9181989,37.6187904,126.9189815,6,1
연서로35길,은평구,37.62164882,126.9261334,37.62254159,126.9252256,7,1
갈현로29길,은평구,37.61911641,126.9152274,37.61979101,126.9141188,7,1
우장산공원길,강서구,37.552739,126.844406,37.549109,126.842569,5,0
양천로69길,강서구,37.555323,126.872378,37.556127,126.872453,8,0
양천로67길,강서구,37.555953,126.868895,37.555018,126.869674,6,0
우장산로10길,강서구,37.551204,126.844497,37.549109,126.842569,5,0
금낭화로26길,강서구,37.578855,126.816592,37.579891,126.815447,5.5,0
관악로30길,관악구,37.490202,126.959871,37.485409,126.962038,15,0
남부순환로248길,관악구,37.475495,126.965593,37.473984,126.965673,6,0
관악로24길,관악구,37.484557,126.956085,37.483965,126.955351,12,0
남부순환로176길,관악구,37.483971,126.928065,37.483045,126.928722,6,0
신림로59길,관악구,37.482964,126.928589,37.482971,126.929688,6,0
